"marker","cluster","BvsT1","T1vsT2","B_RvsNR","T1_RvsNR","T2_RvsNR","d_T1_B_RvsNR","d_T2_B_RvsNR","d_T2_T1_RvsNR","mean_d_T1_B_R","mean_d_T1_B_NR","mean_d_T2_B_R","mean_d_T2_B_NR","mean_d_T2_T1_R","mean_d_T2_T1_NR"
"CD135","cDC2","0.747","0.322","0.959","0.799","0.61","0.721","0.914","0.914","-0.012","-0.001","-0.009","-0.047","-0.012","-0.048"
"CD135","DNT","1","0.953","0.734","0.533","0.461","0.692","0.286","0.413","-0.002","-0.001","0.013","-0.007","0.012","-0.001"
"CD135","DPT","0.906","0.114","0.493","0.442","0.762","0.874","0.476","0.01","-0.001","-0.011","-0.024","-0.004","-0.032","-0.001"
"CD135","GMDSC","0.379","0.646","0.743","0.14","0.762","0.178","0.905","0.914","0.018","-0.042","0.005","-0.017","0.002","0.006"
"CD135","MMDSC_I","0.083","0.097","0.369","0.65","0.83","0.661","0.669","0.539","-0.008","-0.026","0.01","-0.045","0.014","0.017"
"CD135","MMDSC_II","0.057","1","0.364","0.212","0.61","0.354","1","0.476","0.004","-0.027","-0.018","-0.017","-0.027","0.006"
"CD135","MMDSC_III","0.08","0.193","0.492","0.958","0.61","0.187","0.171","0.257","-0.018","-0.035","-0.017","0.024","0.001","0.025"
"CD135","Mono_I","0.554","0.492","0.634","0.833","0.476","0.959","0.61","0.914","-0.001","-0.009","-0.011","-0.03","0.024","0.006"
"CD135","Mono_II","0.036","0.859","0.32","0.646","0.914","0.079","0.067","0.352","-0.062","-0.005","-0.085","0.003","-0.015","0.006"
"CD135","Mono_III","0.209","0.153","0.341","0.958","0.831","0.879","0.61","0.521","-0.003","-0.007","0.016","0.002","0.018","0.011"
